Primary Type,Description,Location,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
THEFT,OVER $500,STREET,FALSE,FALSE,131,1,3,33,6,1175985,1894283,2022,10-11-2022 16:45,41.86527692,-87.62942441,"(41.865276917, -87.629424414)"
THEFT,OVER $500,STREET,FALSE,FALSE,825,8,16,66,6,1158766,1863770,2022,10-11-2022 16:45,41.78191558,-87.69347005,"(41.781915584, -87.69347005)"
THEFT,OVER $500,STREET,FALSE,FALSE,512,5,9,49,6,1182215,1836468,2022,11-12-2022 15:46,41.70648488,-87.60834381,"(41.706484881, -87.608343809)"
THEFT,OVER $500,SMALL RETAIL STORE,FALSE,FALSE,1924,19,44,6,6,1169164,1924101,2022,11-12-2022 15:46,41.94725004,-87.65359694,"(41.947250041, -87.653596936)"
THEFT,OVER $500,STREET,FALSE,FALSE,421,4,7,43,6,1194175,1855369,2022,11-12-2022 15:46,41.75806625,-87.56392874,"(41.758066253, -87.563928742)"
THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,2432,24,49,1,6,1167446,1944661,2022,11-12-2022 15:46,42.00370451,-87.6593172,"(42.00370451, -87.659317195)"
THEFT,OVER $500,STREET,FALSE,FALSE,2411,24,49,2,6,1160607,1949424,2022,11-12-2022 15:46,42.01691929,-87.68434486,"(42.016919291, -87.684344863)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1731,17,30,15,6,1144611,1921194,2022,11-12-2022 15:46,41.93977182,-87.74392128,"(41.939771822, -87.743921282)"
THEFT,OVER $500,STREET,FALSE,TRUE,1132,11,24,26,6,1149617,1896473,2022,11-12-2022 15:46,41.87183903,-87.72616565,"(41.871839027, -87.726165654)"
THEFT,OVER $500,APARTMENT,FALSE,TRUE,231,2,20,40,6,1179447,1867661,2022,11-12-2022 15:46,41.79214554,-87.61752976,"(41.792145536, -87.617529758)"
THEFT,OVER $500,NURSING / RETIREMENT HOME,FALSE,FALSE,2233,22,34,49,6,1172930,1832289,2022,11-12-2022 15:46,41.69522655,-87.64246776,"(41.69522655, -87.642467755)"
THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2413,24,50,2,6,1159072,1942417,2022,11-12-2022 15:46,41.99772366,-87.69018697,"(41.997723659, -87.690186971)"
THEFT,OVER $500,STREET,FALSE,FALSE,1221,12,26,24,6,1162115,1904323,2022,11-12-2022 15:46,41.89312835,-87.68006092,"(41.893128346, -87.680060918)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,1621,16,39,12,6,1143275,1940887,2022,11-12-2022 15:46,41.99383611,-87.74833736,"(41.993836112, -87.748337363)"
THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,2431,24,49,1,6,1165435,1946172,2022,11-12-2022 15:46,42.00789393,-87.66667231,"(42.007893927, -87.666672308)"
