Primary Type,Beat
DECEPTIVE PRACTICE,1634
BATTERY,1511
OTHER OFFENSE,213
BURGLARY,121
BATTERY,1013
PUBLIC PEACE VIOLATION,621
BATTERY,823
DECEPTIVE PRACTICE,2212
WEAPONS VIOLATION,313
THEFT,2024
BATTERY,1012
OTHER OFFENSE,221
BATTERY,621
THEFT,211
CRIMINAL DAMAGE,1915
BURGLARY,2411
OTHER OFFENSE,331
CRIMINAL SEXUAL ASSAULT,2424
OTHER OFFENSE,1834
ASSAULT,1613
BATTERY,1634
CRIMINAL DAMAGE,214
CRIMINAL DAMAGE,531
BATTERY,2221
THEFT,612
ROBBERY,812
MOTOR VEHICLE THEFT,2212
DECEPTIVE PRACTICE,1522
BATTERY,1511
BATTERY,621
WEAPONS VIOLATION,815
THEFT,1925
THEFT,1814
BATTERY,711
CRIMINAL DAMAGE,1012
CRIMINAL SEXUAL ASSAULT,923
CRIMINAL DAMAGE,312
OTHER OFFENSE,2515
CRIMINAL DAMAGE,1013
CRIMINAL DAMAGE,1924
CRIMINAL DAMAGE,623
THEFT,914
THEFT,824
MOTOR VEHICLE THEFT,832
OTHER OFFENSE,333
MOTOR VEHICLE THEFT,832
THEFT,2525
THEFT,632
THEFT,1935
BATTERY,1131
THEFT,1834
ROBBERY,1023
THEFT,1424
THEFT,1434
THEFT,1222
BATTERY,1713
OTHER OFFENSE,523
THEFT,114
CRIMINAL DAMAGE,1821
ASSAULT,633
THEFT,414
OTHER OFFENSE,1512
THEFT,2431
CRIMINAL DAMAGE,1233
MOTOR VEHICLE THEFT,824
WEAPONS VIOLATION,1912
BATTERY,1234
BATTERY,935
DECEPTIVE PRACTICE,1213
BATTERY,723
CRIMINAL DAMAGE,1231
ROBBERY,213
THEFT,1812
DECEPTIVE PRACTICE,1724
CRIMINAL DAMAGE,1915
BATTERY,1233
BATTERY,524
ASSAULT,1933
ARSON,623
THEFT,1924
NARCOTICS,1132
THEFT,1925
MOTOR VEHICLE THEFT,122
ASSAULT,1522
ROBBERY,1221
BATTERY,1113
BATTERY,622
BATTERY,2212
DECEPTIVE PRACTICE,1922
MOTOR VEHICLE THEFT,735
ROBBERY,925
BATTERY,1831
BATTERY,1221
THEFT,722
CRIMINAL SEXUAL ASSAULT,1231
WEAPONS VIOLATION,624
CRIMINAL SEXUAL ASSAULT,835
WEAPONS VIOLATION,312
CRIMINAL TRESPASS,1221
WEAPONS VIOLATION,1511
CRIMINAL DAMAGE,2514
THEFT,914
CRIMINAL DAMAGE,1622
THEFT,2525
BURGLARY,621
ASSAULT,235
BURGLARY,624
BATTERY,1711
ASSAULT,1821
CRIMINAL SEXUAL ASSAULT,632
ROBBERY,711
ROBBERY,622
BATTERY,726
WEAPONS VIOLATION,923
CRIMINAL DAMAGE,1232
ASSAULT,1112
MOTOR VEHICLE THEFT,914
CRIMINAL DAMAGE,833
THEFT,1121
BATTERY,1614
CRIMINAL DAMAGE,735
BATTERY,633
BATTERY,2411
ROBBERY,914
OTHER OFFENSE,1824
ROBBERY,1031
THEFT,823
STALKING,2515
BATTERY,2424
CRIMINAL DAMAGE,912
THEFT,1633
MOTOR VEHICLE THEFT,631
CRIMINAL TRESPASS,1814
ASSAULT,1711
THEFT,1432
MOTOR VEHICLE THEFT,2033
BATTERY,233
BATTERY,223
THEFT,1831
OTHER OFFENSE,725
CRIMINAL DAMAGE,1932
THEFT,1124
BATTERY,611
BURGLARY,1524
CRIMINAL DAMAGE,132
ROBBERY,1014
CRIMINAL DAMAGE,2413
THEFT,1831
NARCOTICS,1221
THEFT,1433
BATTERY,2412
BATTERY,2413
WEAPONS VIOLATION,1524
THEFT,623
BATTERY,1133
DECEPTIVE PRACTICE,2022
CRIMINAL SEXUAL ASSAULT,1213
THEFT,132
ASSAULT,222
THEFT,113
DECEPTIVE PRACTICE,122
CRIMINAL DAMAGE,1135
MOTOR VEHICLE THEFT,235
BATTERY,2431
CRIMINAL DAMAGE,915
CRIMINAL SEXUAL ASSAULT,1834
ROBBERY,123
DECEPTIVE PRACTICE,832
CRIMINAL DAMAGE,1122
DECEPTIVE PRACTICE,1621
DECEPTIVE PRACTICE,624
DECEPTIVE PRACTICE,621
CRIMINAL DAMAGE,2523
BATTERY,724
CRIMINAL DAMAGE,2431
ASSAULT,722
THEFT,225
BATTERY,1824
BATTERY,623
ROBBERY,731
BATTERY,1834
CRIMINAL TRESPASS,1832
WEAPONS VIOLATION,512
BATTERY,1124
ASSAULT,1222
BURGLARY,511
ASSAULT,725
CRIMINAL SEXUAL ASSAULT,2515
ROBBERY,111
BATTERY,722
THEFT,1225
BURGLARY,121
BATTERY,2422
BATTERY,414
THEFT,2413
CRIMINAL DAMAGE,813
ASSAULT,1412
BATTERY,621
ASSAULT,1831
BATTERY,1232
BATTERY,131
THEFT,413
MOTOR VEHICLE THEFT,726
CRIMINAL SEXUAL ASSAULT,323
THEFT,735
THEFT,1221
BATTERY,1011
ASSAULT,224
WEAPONS VIOLATION,612
BATTERY,822
MOTOR VEHICLE THEFT,834
CRIMINAL DAMAGE,1824
BATTERY,1212
HOMICIDE,1024
BATTERY,432
